V1;V2;story_count
06;Den leende mannen; 2
07;Creepypastor i Sverige; 5
08;Ljud; 1
09;Det ryska sömnexperimentet; 2
10;Grottutforskaren Teds berättelse; 1
11;Julspecial; 7
12;Oförklarliga ljud; 3
13;Oförklarligt döda; 3
14;Ensam kvar; 6
15;Duscharna; 1
16;Hem trygga hem; 2
17;Försvunnen; 2
18;Vad barnen ser; 3
19;Creepypodden live; 4
20;I din telefon; 6
21;Nattskiftet; 4
22;Har du känt att någonting är här?; 3
23;Herre i huset; 3
24;När Matrix buggar; 8
25;Oändliga huset; 1
26;Sömnparalys; 7
27;Gömt mitt ibland oss; 4
28;Under ytan; 3
29;Deepweb; 5
30;Svenska galgbackar; 5
31;Bakom scenerna; 3
32;På Gotland; 4
33;En skogvakts berättelser; 7
34;Folktro; 4
35;Nattskiftet II; 5
36;Till sjöss; 4
37;Vad barnen ser II; 3
38;I Vermonts skogar; 5
39;Speciella omständigheter; 0
40;Har du drömt om denna man?; 3
41;Folktro II; 3
42;Du sköna nya värld; 4
43;Secure, Contain, Protect.; 2
44;En berättelse vid lägerelden; 3
45;Skräcken i Haukimaa; 2
46;Isolerad; 3
47;Oönskad; 2
48;Getmannen II; 3
Halloweenspecial;Satans kosmonaut; 1
49;Skrämmande Skåne; 2
50;Inloggad; 2
51;En fiskares berättelser; 6
52;Vem där?;19
53;Bergsbestigarna; 2
54;På väg; 3
55;Slottsvakten; 1
56;Jaga eller jagas?; 3
57;The truth is out there; 4
58;Oförklarliga ljud II; 3
59;En djuphavsdykares bekännelser; 4
60;På tåget; 4
61;Utforskarna; 2
62;Döden; 3
63;Turist; 5
64;En prästs berättelser; 4
65;Svensk sommar; 2
66;Bortförd; 3
67;Tio svenska storys;10
68;Att återvända;37
69;En blandad diet;11
70;Nyinflyttad; 2
71;Två nyanser av 4chan; 2
72;På egen hand; 3
73;1000 meter under jord; 4
74;Bland gamla böcker; 3
Halloweenspecial;Isadora Cordée; 1
75;“Jag hörde i Creepypodden…”; 8
76;Frågor och anonyma svar;10
77;Lumparminnen; 3
78;Gott nytt år; 3
79;Då och nu;12
80;Luckan på vinden; 6
81;Vandringssägner;12
82;Gamla skelett, nya historier; 2
83;Föräldraskap; 3
84;Svarta känslor; 2
84,5;Hos familjen; 6
85;Ofrivillig; 2
86;Skogsrov; 1
87;Till kyrkan; 2
88;Natt utanför fönstret; 2
89;Gömt i kod; 6
90;Mannen i asken; 1
91;Tio svenska storys II (och en norsk);10
92;Som hund och katt; 4
93;På bakgården; 4
94;Iakttagen; 3
Creepypodden;Iakttagen; 0
95;Mysterium; 2
96;Getmannen III; 3
97;Anomalier; 2
98;För sent; 3
99;Blodsav; 1
100, del 1;HOIN; 5
100, del 2;HOIN; 7
100, del 3;HOIN; 7
100, del 4;HOIN; 5
100, del 5;HOIN; 3
101;På väg II; 3
102;Återvändsgränd; 3
103;Ensamma män; 2
104;God jul; 1
105;I djupet; 4
106;Förföljd; 3
107;Den snurrande pojken; 2
108;Gömt i gamla sagor; 4
109;Om ett hus vid en sjö i en skog;98
110;Absolut mörker; 3
Creepypodden Live;Historierna mellan stolarna; 4
111;Självförvållat; 4
112;16 svenska storys;16
113;Sju sorters creepypasta; 7
114;Gamla institutioners hemligheter; 4
115;Svälten; 2
116;Vem där II;13
117;Midsommarspecial; 1
118;Militära hemligheter; 8
119;Familj, del 1; 4
120;Författare okänd; 4
121;Efter katastrofen; 4
122;Studentliv; 4
123;Obesvarade frågor; 4
124;En soldat långt hemifrån; 3
Creepypodden;Anstaltsserien; 0
125;Spår; 3
126;Övertid; 3
127;Försvunnen II; 6
128;Tio svenska storys III;10
129;Känsliga lyssnare varnas; 3
130;Tid; 6
131;Familj, del 2; 3
132;Holen; 1
133;Folktro III; 2
134;In i skuggorna; 3
135;Den flämtande maskinen; 2
136;Det sitter i väggarna; 5
137;När Matrix buggar II; 6
